Station_ID,Station_Name,PS_Code,Department_Code,Type,Longitude,Latitude
594.0,Sakaleshpura Rural PS,PS - 594,164550757,Police Station - Karnataka,75.7871130002743,12.9462899999688
595.0,Sakaleshpura Town PS,PS - 595,164550756,Police Station - Karnataka,75.7879910000822,12.945902000403
596.0,Yeslur PS,PS - 596,164550758,Police Station - Karnataka,75.8586640002783,12.7810399998105
597.0,Kodagu Women PS,PS - 597,164512185,Police Station - Karnataka,75.7404800003983,12.4209299997027
598.0,Bhagamandala PS,PS - 598,164510574,Police Station - Karnataka,75.5349388616035,12.3870889082204
599.0,Madikeri Rural PS,PS - 599,164510575,Police Station - Karnataka,75.7255048998641,12.4296567000529
600.0,Napoklu PS,PS - 600,164510573,Police Station - Karnataka,75.6893609995645,12.3102080002056
602.0,Siddapura PS,PS - 602,164510570,Police Station - Karnataka,75.8756274411448,12.2981012015236
603.0,Kushalanagar Rural PS,PS - 603,164512138,Police Station - Karnataka,75.9565649999831,12.4845269998253
604.0,Kushalnagar Town PS,PS - 604,164510587,Police Station - Karnataka,75.9622959999472,12.4602770000849
605.0,Sunticoppa PS,PS - 605,164510588,Police Station - Karnataka,75.8288999998116,12.4524999999285
667.0,T. Narasipura PS,PS - 667,164590905,Police Station - Karnataka,76.8983166671656,12.208266667416
668.0,Talakadu PS,PS - 668,164590907,Police Station - Karnataka,77.0295277776976,12.1897277777648
669.0,Mysuru Women PS,PS - 669,164592210,Police Station - Karnataka,76.6646749996175,12.3126777783268
670.0,Aldur PS,PS - 670,164480455,Police Station - Karnataka,75.6518199996951,13.2432469998633
671.0,Chickmagalur Rural PS,PS - 671,164480454,Police Station - Karnataka,75.7974440002195,13.3260769997201
672.0,Mallanduru PS,PS - 672,164481891,Police Station - Karnataka,75.6590242917493,13.3664724950951
673.0,Basavanahalli PS,PS - 673,164480451,Police Station - Karnataka,75.7735859998332,13.3281699998605
674.0,Chickmagalur Town PS,PS - 674,164480450,Police Station - Karnataka,75.7754240002408,13.3205419999874
675.0,Balur PS,PS - 675,164480456,Police Station - Karnataka,75.5031459998877,13.1533940000468
676.0,Banakal PS,PS - 676,164480460,Police Station - Karnataka,75.5544860001022,13.1374259998632
677.0,Gonibeedu PS,PS - 677,164480461,Police Station - Karnataka,75.7080730000623,13.0999209996949
678.0,Mudigere PS,PS - 678,164480459,Police Station - Karnataka,75.6417939997681,13.133920000105
679.0,Hariharapura PS,PS - 679,164480465,Police Station - Karnataka,75.2992001700748,13.5195112306431
680.0,Jayapura PS,PS - 680,164481890,Police Station - Karnataka,75.3737359999141,13.4033030000002
681.0,Koppa PS,PS - 681,164480464,Police Station - Karnataka,75.3637680001523,13.5511210001179
682.0,Kalasa PS,PS - 682,164481525,Police Station - Karnataka,75.3589819998389,13.2414499995656
683.0,Kuduremukh PS,PS - 683,164481528,Police Station - Karnataka,75.2524469997459,13.2139549999748
684.0,Balehonnur PS,PS - 684,164480463,Police Station - Karnataka,75.4657970001967,13.3511840001246
685.0,N.R. Pura PS,PS - 685,164480470,Police Station - Karnataka,75.5041660003897,13.6148710002436
686.0,Sringeri PS,PS - 686,164480232,Police Station - Karnataka,75.2530619998582,13.4188599996039
687.0,Birur PS,PS - 687,164480477,Police Station - Karnataka,75.9724069998958,13.5990249995542
884.0,Hubballi-Dharwad Women PS,PS - 884,169710075,Police Station - Karnataka,74.9978657782474,15.4643876456711
885.0,Kadaba PS,PS - 885,164631065,Police Station - Karnataka,75.4680383741898,12.7422581894222
886.0,Puttur Town PS,PS - 886,164631060,Police Station - Karnataka,75.2001889323347,12.7621093917564
887.0,Subramanya PS,PS - 887,164631669,Police Station - Karnataka,75.6127789975958,12.6676029537295
888.0,DK Women PS,PS - 888,164632209,Police Station - Karnataka,75.1980541157694,12.7645569812923
889.0,Doddaballapura Rural PS,PS - 889,164420263,Police Station - Karnataka,77.5379453294057,13.3084134580554
891.0,Kalaburagi City Women PS,PS - 891,169852257,Police Station - Karnataka,76.8362764857443,17.3264374109789
892.0,Kalaburagi City CENCrime PS,PS - 892,169852256,Police Station - Karnataka,76.8369449553139,17.3273591040282
,Chennarayapatana PS,,164421814,Police Station - Karnataka,77.7997076304884,13.2897686543849
,Mahalakshmipuram PS,,164431359,Police Station - Karnataka,77.5473078440129,13.0027389161188
,Shankarpura PS,,164431369,Police Station - Karnataka,77.5699948247066,12.9536079559543
,Suddaguntepalya PS,,164432197,Police Station - Karnataka,77.6077477934414,12.9257789780078
,Belagavi Women PS,,164442243,Police Station - Karnataka,74.5057104184437,15.8577905302319
,Hampi Tourism PS,,169861883,Police Station - Karnataka,76.4613787637174,15.3349669694131
,Indi Rural PS,,164472216,Police Station - Karnataka,75.9542191929938,17.1768954104201
,Kudagi PS,,164472250,Police Station - Karnataka,75.8340963843144,16.4888547157901
,Vijayapura Women PS,,164472239,Police Station - Karnataka,75.7150293950894,16.8287857067055
,Jewargi PS,,164541570,Police Station - Karnataka,76.7757984979955,17.0159155376829
,Kalagi PS,,164540718,Police Station - Karnataka,77.0924482299356,17.2165353575444
,New Extention PS,,164641085,Police Station - Karnataka,77.1091452154164,13.3386696505166
,Bagalkot Women PS,,164702217,Police Station - Karnataka,75.6557204456551,16.1172398101555
,Banahatti PS,,164701259,Police Station - Karnataka,75.1233098953845,16.4771160054384
,Ilakal Rural PS,,164702189,Police Station - Karnataka,76.1117070594767,15.9656754371462
,E and N Crime PS HD city,,169712238,Police Station - Karnataka,75.1392598818917,15.3506249609285
,Champion Reefs  PS,,169720223,Police Station - Karnataka,78.2710272297441,12.9584988881744
,Ramanagar CEN Crime PS,,169772153,Police Station - Karnataka,77.2854280659009,12.7296991615656
,E and N Crime PS Mangaluru City,,169802164,Police Station - Karnataka,74.8399301349626,12.854969078674
,Belagavi City CEN Crime PS,,169822240,Police Station - Karnataka,74.5296183982557,15.8735545169828
,ISD PS,,169842021,Police Station - Karnataka,77.6167567858431,12.9693319402999
,Davanagere CEN Crime PS,,164382136,Police Station - Karnataka,75.9153792255745,14.4594077166055
,Haveri CEN Crime PS,,164392230,Police Station - Karnataka,75.3881606715202,14.7839074419488
,Gadag CEN Crime PS,,164402229,Police Station - Karnataka,75.632629365079,15.4292156934593
,Bengaluru CEN Crime PS,,164422222,Police Station - Karnataka,77.5916650107377,12.9898319905977
,Central CEN Crime PS,,164432146,Police Station - Karnataka,77.5871719906891,12.9667990246362
,East CEN Crime PS,,164432147,Police Station - Karnataka,77.603634427068,12.9878455956193
,North CEN Crime PS,,164432149,Police Station - Karnataka,77.5584169553286,13.0180495928218
,NorthEast CEN Crime PS,,164432260,Police Station - Karnataka,77.5985408010627,13.0568918670573
,South CEN Crime PS,,164432258,Police Station - Karnataka,77.5792168169108,12.9364239699816
,SouthEast CEN Crime PS,,164432259,Police Station - Karnataka,77.6214107811294,12.9411769638892
,West CEN Crime PS,,164432148,Police Station - Karnataka,77.5425355880706,12.9854783207063
,Whitefield CEN Crime PS,,164432261,Police Station - Karnataka,77.7511256717663,12.9754099257775
,Ballari CEN Crime PS,,164452221,Police Station - Karnataka,76.9292423775722,15.1505743862449
,Bidar CEN Crime PS,,164462224,Police Station - Karnataka,77.5333457264266,17.9090410248171
,Vijayapur CEN Crime PS,,164472225,Police Station - Karnataka,75.7073684015082,16.8335777022513
,Kodagu CEN Crime PS,,164512232,Police Station - Karnataka,75.7256203860507,12.4296954395428
,Dharwad CEN Crime PS,,164522228,Police Station - Karnataka,74.9864200113471,15.4682768609115
,Kalaburagi CEN Crime PS,,164542231,Police Station - Karnataka,76.8379184451935,17.3278652715699
,Hassan CEN Crime PS,,164552219,Police Station - Karnataka,76.2569919371536,13.3126636879993
,Kolar CEN Crime PS,,164572131,Police Station - Karnataka,78.1369173440493,13.1416587476339
,Mandya CEN Crime PS,,164582233,Police Station - Karnataka,76.8907204007774,12.5266833463339
,Mysuru CEN Crime PS,,164592234,Police Station - Karnataka,76.6674675899338,12.3146485308351
,Raichur CEN Crime PS,,164612235,Police Station - Karnataka,77.3552540075505,16.2212924894834
,Shivamogga CEN Crime PS,,164622175,Police Station - Karnataka,75.5645275226788,13.9323871647588
,DK CEN Crime PS,,164632227,Police Station - Karnataka,74.8386011362567,12.8604330742856
,Tumkur CEN Crime PS,,164642140,Police Station - Karnataka,77.1031930205604,13.345218144915
,Chamarajanagar CEN Crime PS,,164672178,Police Station - Karnataka,76.962921339632,11.936190847096
,Koppal CEN Crime PS,,164682145,Police Station - Karnataka,76.1509290260441,15.3524469576686
,Udupi CEN Crime PS,,164692156,Police Station - Karnataka,74.7483302132314,13.3326286740182
,Bagalkot CEN Crime PS,,164702220,Police Station - Karnataka,75.6649694372304,16.1585712753245
,KGF CEN Crime PS,,169722137,Police Station - Karnataka,78.2721182286388,12.9560988908901
,E and N Crime PS Mysuru City,,169732215,Police Station - Karnataka,76.6578655976532,12.3200155271879
,Peresandra PS,,169762299,Police Station - Karnataka,77.7842732268517,13.5890866022714
,Chitradurga CEN Crime PS,,164492226,Police Station - Karnataka,76.4056733624879,14.2346479633815
,Chickmagalur CEN Crime PS,,164482211,Police Station - Karnataka,75.7710397409279,13.3201287915827
,Bajpe PS,,169801051,Police Station - Karnataka,74.8924245227155,12.9811816289356
,Barke PS,,169801045,Police Station - Karnataka,74.8319797451042,12.8868150880246
,Budikote PS,,169722295,Police Station - Karnataka,78.1296873030093,12.9065014488086
,Kyasamballi PS,,169722296,Police Station - Karnataka,78.3593565880979,12.9525186432882
,CEN Crime PS Mysuru City,,169732214,Police Station - Karnataka,76.6630697811009,12.3118222974901
,Choranuru PS,,164452306,Police Station - Karnataka,76.5292060094503,14.9259629905524
,Govindapura PS,,164432268,Police Station - Karnataka,77.619463595785,13.0344587360155
,Govindaraja Nagar PS,,164432303,Police Station - Karnataka,77.5292191043584,12.972337140279
,Cyber Crime Police Station,,164432200,Police Station - Karnataka,77.5862511278321,12.9821582373495
,CEN Crime PS Mangaluru City,,169802297,Police Station - Karnataka,74.8358900129765,12.9010999770487
,Bengaluru Dist Women PS,,164422247,Police Station - Karnataka,77.5378638070062,13.3077638921711
,Cyber Crime PS Mangaluru City,,169802163,Police Station - Karnataka,74.8335050095911,12.8641549805642
,Byadarahalli PS,,164432123,Police Station - Karnataka,77.4913220422091,12.9869611703651
,CEN Crime PS Hubballi Dharwad City,,169712237,Police Station - Karnataka,75.1392940195207,15.3506489938958
,East Zone Women PS,,164431387,Police Station - Karnataka,77.6037380166751,12.9880379848679
,Anandapura PS,,164622338,Police Station - Karnataka,75.2327578423306,14.0749302438979
1.0,"Police Outpost, APTS Yelahanka",,1,Police Outpost - Karnataka,77.605489000224,13.1236710003015
10.0,"Police Outpost, Seshadripuram",,10,Police Outpost - Karnataka,77.5826090002177,12.9955660001983
100.0,"Police Outpost, Examba",,100,Police Outpost - Karnataka,74.6021730001999,16.5277230001537
101.0,"Police Outpost, Koga  Li",,101,Police Outpost - Karnataka,74.3308900000456,16.5423399999553
102.0,"Police Outpost, Pachapur",,102,Police Outpost - Karnataka,74.6855999997508,16.1036270002212
103.0,"Police Outpost, Hidakal Dam",,103,Police Outpost - Karnataka,74.6596200000697,16.1324060003969
104.0,"Police Outpost, Sureban",,104,Police Outpost - Karnataka,75.3896666668748,15.8894999999577
105.0,"Police Outpost, Yaragatti",,105,Police Outpost - Karnataka,75.016678700172,15.9807520999908
106.0,"Police Outpost, Munavalli",,106,Police Outpost - Karnataka,75.1287610001644,15.8558550004057
