State,District,Year,Crime_Category,Crime_Category_Code,Total_Cases
Karnataka,Raichur,2023,Cyber_Crimes,Cyber,29
Karnataka,Ramanagara,2023,Cyber_Crimes,Cyber,159
Karnataka,Shivamogga,2023,Cyber_Crimes,Cyber,54
Karnataka,Tumakuru,2023,Cyber_Crimes,Cyber,252
Karnataka,Udupi,2023,Cyber_Crimes,Cyber,129
Karnataka,Uttara Kannada,2023,Cyber_Crimes,Cyber,80
Karnataka,Vijayanagara,2023,Cyber_Crimes,Cyber,14
Karnataka,Vijayapura,2023,Cyber_Crimes,Cyber,93
Karnataka,Yadgir,2023,Cyber_Crimes,Cyber,17
Karnataka,Bagalkot,2024,Cyber_Crimes,Cyber,47
Karnataka,Ballari,2024,Cyber_Crimes,Cyber,118
Karnataka,Belagavi,2024,Cyber_Crimes,Cyber,167
Karnataka,Bengaluru Rural,2024,Cyber_Crimes,Cyber,844
Karnataka,Bengaluru Urban,2024,Cyber_Crimes,Cyber,17561
Karnataka,Bidar,2024,Cyber_Crimes,Cyber,41
Karnataka,Chamarajanagara,2024,Cyber_Crimes,Cyber,24
Karnataka,Chikkaballapura,2024,Cyber_Crimes,Cyber,189
Karnataka,Chikkamagaluru,2024,Cyber_Crimes,Cyber,92
Karnataka,Chitradurga,2024,Cyber_Crimes,Cyber,74
Karnataka,Dakshina Kannada,2024,Cyber_Crimes,Cyber,241
Karnataka,Davanagere,2024,Cyber_Crimes,Cyber,142
Karnataka,Dharwad,2024,Cyber_Crimes,Cyber,308
Karnataka,Gadag,2024,Cyber_Crimes,Cyber,67
Karnataka,Hassan,2024,Cyber_Crimes,Cyber,131
Karnataka,Haveri,2024,Cyber_Crimes,Cyber,125
Karnataka,Kalaburagi,2024,Cyber_Crimes,Cyber,63
Karnataka,Kodagu,2024,Cyber_Crimes,Cyber,82
Karnataka,Kolar,2024,Cyber_Crimes,Cyber,155
Karnataka,Koppal,2024,Cyber_Crimes,Cyber,27
Karnataka,Mandya,2024,Cyber_Crimes,Cyber,67
Karnataka,Mysuru,2024,Cyber_Crimes,Cyber,306
Karnataka,Raichur,2024,Cyber_Crimes,Cyber,21
Karnataka,Ramanagara,2024,Cyber_Crimes,Cyber,236
Karnataka,Shivamogga,2024,Cyber_Crimes,Cyber,123
Karnataka,Tumakuru,2024,Cyber_Crimes,Cyber,322
Karnataka,Udupi,2024,Cyber_Crimes,Cyber,203
Karnataka,Uttara Kannada,2024,Cyber_Crimes,Cyber,96
Karnataka,Vijayanagara,2024,Cyber_Crimes,Cyber,22
Karnataka,Vijayapura,2024,Cyber_Crimes,Cyber,80
Karnataka,Yadgir,2024,Cyber_Crimes,Cyber,19
Karnataka,Bagalkot,2021,IPC_BNS_Crimes,IPC,2025
Karnataka,Ballari,2021,IPC_BNS_Crimes,IPC,3750
Karnataka,Belagavi,2021,IPC_BNS_Crimes,IPC,6009
Karnataka,Bengaluru Rural,2021,IPC_BNS_Crimes,IPC,5179
Karnataka,Bengaluru Urban,2021,IPC_BNS_Crimes,IPC,21548
Karnataka,Bidar,2021,IPC_BNS_Crimes,IPC,2826
Karnataka,Chamarajanagara,2021,IPC_BNS_Crimes,IPC,1595
Karnataka,Chikkaballapura,2021,IPC_BNS_Crimes,IPC,2334
Karnataka,Chikkamagaluru,2021,IPC_BNS_Crimes,IPC,2600
Karnataka,Chitradurga,2021,IPC_BNS_Crimes,IPC,4332
Karnataka,Dakshina Kannada,2021,IPC_BNS_Crimes,IPC,4065
